"id","name","category","ram","vga","cpu","screen","price","discount","video","specifications","manufacturer","images","hard_drive","created_at","updated_at","is_delete"
"94","Macbook m1","Mỏng nhẹ, thời trang","64GB","acasca","ascasc","1212","1234567","1234566","","efsdfsdf","[object Object]","abc","HDD","2022-11-06T03:56:56.316+00:00","2022-11-06T03:56:56.316+00:00","false"
"104","Asus 123","Văn phòng","64GB","acasca","ascasc","1212","1231","1230","","efsdfsdf","[object Object]","https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_41857_aspire_7_a715_ha1.jpg12f0d3aa-e7f5-40a1-9c26-22cb72822a14?alt=media&token=b07d3421-8216-40b0-b0e8-77c64c11e93e","HDD","2022-11-07T15:45:16.707+00:00","2022-11-07T15:45:16.707+00:00","false"
"124","Macbook m2 2021","Gaming","16GB","acasca","sdcacsac","12","1234","1233","","casca","[object Object]","https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_43974_modern_14_b10_grey_ha1.jpgea3cda00-6936-493b-9543-aa26ae0a893e?alt=media&token=44194b82-2024-4e76-88bf-b908b92c5cf7,https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_43750_ideapad_5_15_ha4.jpgc661cfad-f391-4c6a-b4f0-e56c3f43f870?alt=media&token=161bbd15-6787-4c5c-bc3f-f72329b58f0e","HDD","2022-11-07T16:07:25.648+00:00","2022-11-07T16:07:25.648+00:00","false"
"4","Laptop BBB","Văn phòng","8GB","wewe","dsds","4","5","4","","rere","[object Object]","https://res.cloudinary.com/cuongpham/image/upload/v1631787391/Laptops/ken19wfitgqj6f9sgtpy.png,https://res.cloudinary.com/cuongpham/image/upload/v1631550514/Laptops/sg6dkr36fvxf1rc17ktj.png","CCC","2022-10-02T17:48:20.640+00:00","2022-11-07T16:19:47.900+00:00","false"
"114","Macbook m2","Văn phòng","16GB","acasca","ascasc","1","123","122","","efsdfsdf","[object Object]","https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_43743_lap_hp_15s_ha4.jpgfbaa1448-1bc2-4823-97dc-a490595b002c?alt=media&token=2b58aebe-a503-4a07-bde6-3efa212aa0bb,https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_43530_ideapad_slim_3_14_blue_ha1.jpgb2dc60a6-cc7d-44b1-b4e5-d41b2bbf0565?alt=media&token=141b9ee4-3e5d-444b-9358-b46b3c22b4e4","HDD","2022-11-07T16:01:21.748+00:00","2022-11-07T16:28:05.191+00:00","false"
"14","Laptop B","Văn phòng","8GB","wewe","dsds","4","5","3","","rere","[object Object]","https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_41871_vostro_5502_grey_h1.jpga2670a25-2573-4dff-8b89-3c1cbb2f9ce5?alt=media&token=736f1041-181e-4ea6-9dc2-44f7f4d6b9a9","CCC","2022-10-11T00:13:15.178+00:00","2022-11-08T03:44:33.671+00:00","false"
"24","Laptop C","Văn phòng","8GB","wewe","dsds","4","5","2","","rere","[object Object]","https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F250_41871_vostro_5502_grey_h1.jpg753724bd-d6c6-4534-84eb-54e35e3eefc6?alt=media&token=d2130d18-fee7-4e11-b13f-7f55036323df","CCC","2022-10-11T00:13:21.986+00:00","2022-11-08T21:35:48.425+00:00","false"
"144","Laptop Acer Nitro Tiger","Văn phòng","8GB","Card tích hợpIntel UHD","Exynos 990","1","12000000","11999999","","Dài 356.7 mm - Rộng 251.9 mm - Dày 17.95 mm - Nặng 1.87 kg","[object Object]","https://firebasestorage.googleapis.com/v0/b/upload-image-ff99e.appspot.com/o/images%2F46451_nitro_tiger_an515_58__ha2.jpge0ab71f9-e850-4dc7-9dbb-12187e3f626b?alt=media&token=29a411d0-ff7e-4746-ab29-c3aa2133fec4","512 GB SSD NVMe PCIe","2022-11-11T03:40:23.167+00:00","2022-11-11T03:40:23.167+00:00","false"
"184","Laptop ASUS 2","Văn phòng","16Gb","VGA Intel Iris","Core i5 1235U 3.3GHz","15.6","18590000","10","test","Windows 11 Home + Office Student","[object Object]","https://phucanhcdn.com/media/product/49155_dell_inspiron_3520_intel_black_a1.jpg","512GB SSD","2022-11-20T09:19:52.834+00:00","2022-11-20T09:19:52.834+00:00","false"
"204","Laptop ASUS 3","Gaming","8Gb DDR4 3200","VGA onboard - Intel Iris Xe Graphics","Core i7 1165G7 2.8GHz","14","16490000","10","test","323.4 x 215.6 x 19.2-19.2 mm","[object Object]","https://phucanhcdn.com/media/product/49055_laptop_asus_expertbook_b1400_intel_black_a1.jpg","512GB SSD","2022-11-20T09:19:52.834+00:00","2022-11-20T09:19:52.834+00:00","false"
